approach;log;config;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat
Urabe et al.;L3.csv;N=50-M=10-t=0.1-w=1500-w=1500;0.0940267444596449;0.30663780663780665;0.14392166518063815;0.9891774891774892;1;120;0.2539536676720792;0.0;0.0940267444596449;0.5039381585790852;1.0;1.0;1.0;0.0;0.8170662949999894;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=50-M=15-t=0.1-w=1500-w=1500;0.105320704996677;0.32453151618398635;0.15903087802713672;0.7942555748076451;3;120;0.25750017064821634;0.0;0.105320704996677;0.507444746399267;1.0;1.0;1.0;1.0;0.8130191129999957;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=50-M=20-t=0.1-w=1500-w=1500;0.07576395265789206;0.27525252525252525;0.11882188218821882;0.9810606060606061;1;120;0.25046929471708235;0.0;0.07576395265789206;0.5004690746860213;1.0;1.0;0.0;0.0;0.8237752639999769;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=50-M=25-t=0.1-w=1500-w=1500;0.07412802931712086;0.272264631043257;0.116529262086514;0.9809160305343512;1;120;0.25022933177744283;0.0;0.07412802931712086;0.5002292792084874;1.0;1.0;0.0;0.0;0.7230658770000105;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=50-M=30-t=0.1-w=1500-w=1500;0.10084177378310884;0.31755593803786575;0.15307399233961133;0.9707511075312123;2;120;0.2561860583715445;0.0;0.10084177378310884;0.5061482573036723;1.0;1.0;1.0;1.0;0.7076702629999829;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=50-M=35-t=0.1-w=1500-w=1500;0.09935016898291078;0.31519861830742657;0.1510800993857002;0.9870466321243523;1;120;0.2557713579428664;0.0;0.09935016898291078;0.5057384283825646;1.0;1.0;1.0;0.0;0.7442566230000125;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=50-M=40-t=0.1-w=1500-w=1500;0.0940267444596449;0.30663780663780665;0.14392166518063815;0.9891774891774892;1;120;0.2539536676720792;0.0;0.0940267444596449;0.5039381585790852;1.0;1.0;1.0;0.0;0.7496823939999899;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=50-M=45-t=0.1-w=1500-w=1500;0.0940267444596449;0.30663780663780665;0.14392166518063815;0.9891774891774892;1;120;0.2539536676720792;0.0;0.0940267444596449;0.5039381585790852;1.0;1.0;1.0;0.0;0.7736296399999958;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=50-M=50-t=0.1-w=1500-w=1500;0.0940267444596449;0.30663780663780665;0.14392166518063815;0.9891774891774892;1;120;0.2539536676720792;0.0;0.0940267444596449;0.5039381585790852;1.0;1.0;1.0;0.0;0.7810448220000126;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=5-M=5-t=0.1-w=1500-w=1500;0.8870559865790854;0.8767138557574407;0.8766614524132671;0.36760341086752607;187;240;0.8914002470738427;0.7289698976439762;0.7853786524837008;0.8040935142632306;0.9597492956126732;0.8933043022265962;0.9298924361241278;0.9202222709899224;4.4611072909999905;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=5-M=10-t=0.1-w=1500-w=1500;0.8671028136199385;0.8413070146091224;0.840283743931225;0.5761067860779688;239;240;0.8680169917401802;0.6759871377047991;0.7360913256542587;0.7683791931484325;0.924967476530361;0.8136579562900387;0.8474078543332619;0.8657235983773061;4.722094505999991;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=5-M=15-t=0.1-w=1500-w=1500;0.7954117854786104;0.778420467185762;0.7798494089660634;0.6318817992934306;239;240;0.8286622470598412;0.5769924347633867;0.6560790256069482;0.6963544427933963;0.8644562427481453;0.6683305931244597;0.7283552736754484;0.7633465870647191;5.3643931719999784;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=5-M=20-t=0.1-w=1500-w=1500;0.7547915541123812;0.7277901785714286;0.7127471590199193;0.5708179416748853;159;240;0.7700455099022531;0.4600329029310508;0.5693166563170032;0.6262106962195304;0.9082079452272909;0.7738054755574109;0.8315684764471827;0.8378280108214027;5.196214323999982;full;0;0;0;0;0;0;0;0
