approach;log;config;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat
Urabe et al.;L1.csv;N=5-M=5-t=0.1-w=1500-w=1500;0.8700919736178896;0.8724069805729339;0.8703456058876157;0.5394888948077387;195;200;0.8588118512656435;0.7031622828279875;0.7774306597242213;0.8188583031328945;0.9770184623863323;0.9512575805313173;0.9690575916230366;0.9698715406286826;2.566043830000126;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=5-M=10-t=0.1-w=1500-w=1500;0.8400569664436378;0.8079077429983526;0.8143519465610999;0.6169475942797729;185;200;0.790355231151478;0.5479129115661884;0.6944649351129831;0.713004154824382;0.8575793184488837;0.6803861846877821;0.7744633332693033;0.7874837722158858;2.068621588000042;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=5-M=15-t=0.1-w=1500-w=1500;0.6187633107418404;0.6710092348284961;0.6126696005869018;0.5435394079197761;171;200;0.710476398432118;0.42414219955995736;0.5266787334616362;0.6832782850209305;0.7347781217750258;0.4753501801714453;0.45304768331084116;0.7117643800422162;2.271757146000027;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=5-M=20-t=0.1-w=1500-w=1500;0.5184606079861855;0.6804841651467418;0.5872074435580369;0.5405609074839997;135;200;0.6634435735983213;0.3555274522587017;0.4809061106733838;0.672117393898791;0.8034273079049199;0.614246763423938;0.6044444444444445;0.8044344325301649;2.1644215520000216;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=10-M=5-t=0.1-w=1500-w=1500;0.8871268395050896;0.8879012345679013;0.8872677667935575;0.5181027572909576;189;200;0.8730348744090375;0.731779050984075;0.8023567214302914;0.8349426603978273;1.0;1.0;1.0;1.0;2.052412339000057;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=10-M=10-t=0.1-w=1500-w=1500;0.8006860297723545;0.7876441515650742;0.7927308343995266;0.6279671229729475;183;200;0.7917705855479124;0.5546699822088366;0.6725659788362173;0.7206101102660775;0.8281390740407134;0.6282536540871113;0.685399938397247;0.7630953779462499;2.4144705749999957;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=10-M=15-t=0.1-w=1500-w=1500;0.6207788763779285;0.6754473161033797;0.6167241246525967;0.5390386286541152;164;200;0.7158779990589466;0.43439029996593476;0.531782446963516;0.68888662725261;0.7319317671704324;0.46760321662503834;0.45392016754566605;0.7065521546812362;2.5397514659998706;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=10-M=20-t=0.1-w=1500-w=1500;0.47578739111406126;0.6309681697612732;0.5334911657087285;0.58312657566637;123;200;0.5946838219156815;0.24883161239701218;0.4198885790215498;0.6392703069645704;0.743702518992403;0.5018897834659145;0.5404642782691563;0.7662004897910976;2.615611331999844;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=15-M=5-t=0.1-w=1500-w=1500;0.9037115444000645;0.9035549703752469;0.9035736593993863;0.4939807547693872;187;200;0.8905784344801242;0.7681216307727888;0.8281947444188715;0.8565717731549654;1.0;1.0;1.0;1.0;2.3666157379998367;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=15-M=10-t=0.1-w=1500-w=1500;0.8120694872311502;0.8123558484349259;0.8121612210858767;0.6274113959026122;183;200;0.8051150375839841;0.5873012042676737;0.6958699441140137;0.7450122977391573;0.7921095298144478;0.5598322428955614;0.6800609398323293;0.727964245931393;3.465806622999935;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=15-M=15-t=0.1-w=1500-w=1500;0.5627109330587782;0.633532140490391;0.5719532806059511;0.5761299926456407;143;200;0.6462048476882423;0.29404394703883185;0.4650324348705469;0.6074108417704035;0.6763518171968876;0.35518938219222823;0.48563484708063026;0.6484547933935234;3.3389770250000765;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=15-M=20-t=0.1-w=1500-w=1500;0.4960917070395133;0.6569960212201591;0.5628912125650845;0.5736433092426284;134;200;0.6505740455920274;0.33587637776601825;0.45553479370529704;0.6668805937459685;0.734709909101111;0.4846838941290972;0.5053024351924588;0.7449280716598631;4.943128122999951;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=20-M=5-t=0.1-w=1500-w=1500;0.9031498462137789;0.9020898469639624;0.902275988351727;0.43394358645688;158;200;0.884715115855193;0.7555455200681258;0.8250765353559498;0.8486433721094286;0.9908893009755704;0.9802584033370497;0.9875040571243102;0.9873982171943514;3.3311654760000238;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=20-M=10-t=0.1-w=1500-w=1500;0.8200815409454565;0.8201284796573876;0.8198240539341941;0.6183979436586137;179;200;0.8093411923756688;0.5962936388472367;0.7053463144697512;0.7506112910053382;0.8123156110727512;0.6045723304955398;0.7144310496912674;0.7576954704903122;3.290655260999756;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=20-M=15-t=0.1-w=1500-w=1500;0.5553239600881213;0.6859367235381812;0.6065831713537528;0.5708240730587205;141;200;0.7139979404671853;0.4296990590803241;0.5117667985291345;0.6851079862191274;0.709726443768997;0.41870437549194967;0.472348970349483;0.6826684393532779;5.36317564500041;full;0;0;0;0;0;0;0;0
Urabe et al.;L1.csv;N=20-M=20-t=0.1-w=1500-w=1500;0.5059074019610698;0.6677718832891246;0.5741673213773111;0.5656124859685551;139;200;0.6651597163549776;0.3600505064649854;0.4687543044614492;0.6759628314613274;0.7423626316338233;0.4991991090321749;0.5197151369813241;0.7543280671494085;7.132369772999937;full;0;0;0;0;0;0;0;0
